   266	2-01-FULL-44-11 sp001817345
   267	2-01-FULL-44-17 sp001794195
   268	2-01-FULL-44-17 sp016181055
   269	2-01-FULL-44-17 sp016181175
   270	2-01-FULL-44-17 sp016185545
   271	2-01-FULL-44-21 sp001777655
   272	2-01-FULL-44-22 sp001794205
   273	2-01-FULL-44-22 sp001795975
   274	2-01-FULL-45-10-A sp001804165
   275	2-01-FULL-45-10-B sp001818835
   276	2-01-FULL-45-10 sp001804065
   277	2-01-FULL-45-11 sp001803465
   278	2-01-FULL-45-18 sp001779915
   279	2-01-FULL-45-33 sp001778595
   280	2-01-FULL-45-33 sp001778875
   281	2-01-FULL-46-13 sp001778545
   282	2-01-FULL-46-13 sp001778785
   283	2-01-FULL-46-13 sp001778905
   284	2-01-FULL-46-13 sp001780775
   285	2-01-FULL-46-14-A sp001780895
   286	2-01-FULL-46-14 sp001777515
   287	2-01-FULL-46-14 sp001779925
   288	2-01-FULL-47-10-A sp001820675
   289	2-01-FULL-47-10 sp001824325
   290	2-01-FULL-48-10 sp001817755
   291	2-01-FULL-48-14 sp001822835
   292	2-01-FULL-48-16 sp001823155
   293	2-01-FULL-49-10 sp001771275
   294	2-01-FULL-49-10 sp016936175
   295	2-01-FULL-49-14 sp001816915
   296	2-01-FULL-49-17 sp001795695
   297	2-01-FULL-49-22 sp001788565
   298	2-01-FULL-50-11 sp001777585
   299	2-01-FULL-50-23 sp001774555
   300	2-01-FULL-50-24 sp001804225
   301	2-01-FULL-50-25 sp001822215
   302	2-01-FULL-50-28 sp001816585
   303	2-01-FULL-51-10 sp001823505
   304	2-01-FULL-51-10 sp001823605
   305	2-01-FULL-51-21 sp001781435
   306	2-01-FULL-51-34 sp001820785
   307	2-01-FULL-52-15 sp001818365
   308	2-01-FULL-53-15 sp001772335
   309	2-01-FULL-56-20 sp001818655
   310	2-01-FULL-58-14 sp001824745
   311	2-01-FULL-59-12 sp001800075
   312	2-01-FULL-60-11 sp001799975
   313	2-01-FULL-60-11 sp001800085
   314	2-01-FULL-63-20 sp001791045
   315	2-01-FULL-63-20 sp004297215
   316	2-01-FULL-64-13 sp001800095
   317	2-01-FULL-66-17 sp001803875
   318	2-01-FULL-66-17 sp016201825
   319	2-02-FULL-34-10 sp001821915
   320	2-02-FULL-34-12 sp001784555
   321	2-02-FULL-35-15 sp001784585
   322	2-02-FULL-36-13 sp001777015
   323	2-02-FULL-37-13 sp001782195
   324	2-02-FULL-38-14-A sp001790855
   325	2-02-FULL-38-14 sp001772865
   326	2-02-FULL-38-15-A sp001797335
   327	2-02-FULL-38-15 sp001777055
   328	2-02-FULL-39-11 sp001779195
   329	2-02-FULL-39-13 sp001783595
   330	2-02-FULL-39-13 sp002782365
   331	2-02-FULL-39-14 sp001779055
   332	2-02-FULL-39-14 sp001779205
   333	2-02-FULL-39-32 sp001800135
   334	2-02-FULL-39-32 sp016180425
   335	2-02-FULL-40-10 sp001779115
   336	2-02-FULL-40-11 sp001798105
   337	2-02-FULL-40-12 sp001824375
   338	2-02-FULL-40-12 sp007376425
   339	2-02-FULL-40-13 sp001779235
   340	2-02-FULL-40-20 sp001818675
   341	2-02-FULL-42-16 sp001818695
   342	2-02-FULL-42-16 sp016192685
   343	2-02-FULL-42-43 sp001801425
   344	2-02-FULL-42-43 sp001801515
   345	2-02-FULL-42-43 sp001801815
   346	2-02-FULL-42-43 sp001802455
   347	2-02-FULL-42-43 sp002793195
   348	2-02-FULL-42-43 sp013287435
   349	2-02-FULL-42-43 sp013287505
   350	2-02-FULL-43-11-A sp001789515
   351	2-02-FULL-43-11-A sp018062605
